Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
GPTINFRA,GPT Infraprojects Ltd.,,5.94,5.94,8.19,42.92,42.92,2.5,136.62,16.57,14.32,8,5.94,,12.12,10.48,5.85,4.34,13.84,25.22,4.71,0.95,1.13,,1.3,1.06,0.74,29.44,21.36,70.56,78.64,,467.55,0.59,4.85,0.32,70.55,1.02,0.32,0.14,
GRANULES,Granules India Ltd.,,20.32,20.3,26.62,111.53,111.53,1.5,162.42,35.04,29.03,27.43,20.61,,21.57,17.87,16.88,12.68,18.47,24.14,11.07,0.34,0.89,,1.45,1.08,3.55,3.73,2.89,96.27,97.11,,"7,745.15",1.97,9.13,1.79,96.26,2.61,1.79,0.07,
GRAPHITE,Graphite India Ltd.,,17.91,17.91,20.25,237.56,237.56,8.5,149.1,27.15,24.82,24.36,17.91,,18.21,16.64,16.33,12.01,7.54,10.21,5.8,0.07,0.5,,3.33,1.62,0.98,55.82,49.38,44.18,50.62,,"5,387.65",1.85,10.15,1.76,44.17,1.1,1.76,0.07,
GRASIM,Grasim Industries Ltd.,,32.34,32.31,48.92,713.11,713.11,10,407.62,63.76,47.09,40.17,32.25,,15.64,11.55,9.85,7.91,4.52,5.85,3.41,0.11,0.43,,1.16,0.67,4.14,30.96,20.41,69.04,79.59,,"112,271.82",4.18,26.74,4,69.03,2.29,4,0.02,
GRAVITA,Gravita India Ltd.,,14.65,14.65,16.2,44.68,44.68,4.35,365.59,23.05,21.5,16.84,14.65,,6.3,5.88,4.6,4,32.78,35.51,11.95,0.92,3.15,,1.44,0.52,4.75,0,0,0,0,,"3,619.46",1.43,22.74,1.32,0,10.84,1.32,0.03,
GREENPOWER,Orient Green Power Company Ltd.,,0.04,0.04,0.04,9.82,9.82,0,0.31,0.09,0.09,0.04,0.04,,28.16,28.04,12.07,13.4,0.42,0.64,0.3,0.38,0.02,,1.51,1.51,0,0,0,0,0,,963.85,41.14,146.04,29.06,0,0.92,29.07,0,
GRINDWELL,Grindwell Norton Ltd.,,31.67,31.67,36.63,161.29,161.59,14.5,213.94,47.93,42.98,42.38,31.67,,22.4,20.08,19.8,14.8,19.63,25.5,15.06,0.01,1.07,,2.84,1.92,1.95,37.88,32.76,62.12,67.24,,"20,636.00",8.71,38.88,8.76,62.11,11.62,8.76,0.02,
GROBTEA,The Grob Tea Company Ltd.,,5.2,5.2,32.7,668.99,668.99,2,879.82,63.21,35.72,31.94,5.2,,7.18,4.05,3.63,0.59,0.77,5.01,0.56,0.15,0.99,,2.33,1.61,0.15,38.48,6.11,61.52,93.89,,88.12,0.86,11.99,0.83,61.51,1.09,0.83,0.01,
GRPLTD,GRP Ltd.,,76.71,76.71,169.54,"1,108.50","1,108.50",17,"3,381.16",228.06,135.24,86.75,76.71,,6.74,3.99,2.56,2.26,6.92,9.84,3.61,0.57,1.55,,1.62,1.17,4.19,11.73,5.3,88.27,94.7,,427.25,0.95,14.05,0.76,88.26,2.32,0.76,0.03,
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,,19.91,19.91,23.33,123.42,123.42,6.2,223.58,30.63,27.21,26.64,19.91,,13.69,12.17,11.91,8.9,16.13,20.3,2.11,0.21,0.28,,1.07,0.75,0.73,31.88,27.21,68.12,72.79,,"1,190.64",0.46,3.39,2.04,68.11,3.69,2.04,0.04,
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,,32.45,32.45,37.01,300.23,300.23,10,283.53,44.27,39.71,39.34,32.45,,15.61,14,13.87,11.44,10.8,12.41,9.38,0,0.81,,5.17,4.02,4.73,7.7,6.75,92.3,93.25,,"3,319.06",0.29,1.88,0.42,92.29,0.4,0.42,0.27,
GSS,GSS Infotech Ltd.,,3.17,3.17,3.18,75.12,75.12,0,10.84,3.71,3.7,3.67,3.17,,34.25,34.18,33.86,29.26,4.22,4.93,3.63,0,0.13,,1.61,1.61,0,0,0,0,0,,332.15,18.09,52.82,18.35,0,2.65,18.35,0.02,
GTL,GTL Ltd.,,3.63,3.63,3.91,-432.48,-432.48,0,11.85,-0.84,-1.12,3.64,3.64,,-7.11,-9.42,30.69,30.69,-0.84,0.29,22.18,-0.86,0.78,,0.03,0.03,0,0,0,0,0,,"6,129.19",32.88,-462.23,0.41,0,-0.01,0.41,0.74,
GTLINFRA,GTL Infrastructure Ltd.,,-1.41,-1.41,-1.04,-3.78,-3.78,0,1.15,0.04,-0.35,-1.43,-1.43,,3.78,-30.76,-124.62,-124.62,0,11.36,-42.54,-0.77,0.3,,0.1,0.1,0,0,0,0,0,,"4,072.83",2.79,73.88,0.62,0,-0.19,0.62,-2.02,
GTPL,GTPL Hathway Ltd.,,6.38,6.38,20.51,77.63,77.63,4,150.7,25.27,11.14,8.26,6.38,,16.76,7.38,5.48,4.23,8.21,13.59,4.07,0.11,1.03,,0.56,0.53,0,62.71,19.5,37.29,80.5,,"1,066.72",0.63,3.75,0.65,37.28,1.26,0.65,0.07,
GUJAPOLLO,Gujarat Apollo Industries Ltd.,,1.7,1.7,3.63,196.52,196.52,2,20.26,4.25,2.32,1.41,1.7,,20.96,11.47,6.96,8.41,0.86,1.16,0.8,0.05,0.09,,10.72,9.64,0.89,117.36,55.15,-17.36,44.85,,237.58,9.94,47.41,9.5,-17.36,0.98,9.5,0.01,
GUJGASLTD,Gujarat Gas Ltd.,,22.16,22.16,28.38,101.62,101.62,6.65,243.45,36.22,30,29.41,22.16,,14.87,12.32,12.08,9.1,21.8,25.51,14,0,1.64,,0.71,0.68,231.76,9.02,7.04,90.98,92.96,,"30,964.77",1.85,12.42,1.89,90.97,4.52,1.89,0.05,
GUJRAFFIA,Gujarat Raffia Industries Ltd.,,1.9,1.9,4.27,37.22,37.22,0,72.61,6.7,4.33,2.36,1.9,,9.22,5.96,3.25,2.61,5.1,10.24,2.87,0.62,1.15,,1.83,1.15,3.21,0,0,0,0,,18.6,0.47,5.14,0.34,0,0.67,0.34,0.08,
GULFOILLUB,Gulf Oil Lubricants India Ltd.,,47.3,47.16,55.47,240.41,240.41,25,611.85,79.56,71.47,63.8,47.39,,13,11.68,10.42,7.74,19.71,28.56,11.21,0.28,1.55,,1.97,1.42,3.28,10.55,9.01,89.45,90.99,,"1,659.59",0.55,4.26,0.66,89.44,1.68,0.66,0.12,
GULFPETRO,GP Petroleums Ltd.,,4.94,4.94,5.64,54.17,54.17,0,155.03,7.35,6.65,6.8,4.94,,4.74,4.29,4.38,3.18,9.12,11.71,7.29,0.07,2.36,,4.86,3.34,4.54,0,0,0,0,,177.76,0.22,4.74,0.2,0,0.57,0.2,0.16,
GULPOLY,Gulshan Polyols Ltd.,,8.73,8.73,14.26,110.64,110.64,0.5,226.98,18.32,12.8,11.62,8.73,,8.07,5.63,5.11,3.84,7.88,9.21,4.59,0.43,1.32,,1.43,0.84,5.3,11.45,7.01,88.55,92.99,,"1,295.79",1.1,13.61,0.89,88.54,1.83,0.89,0.04,
GVKPIL,GVK Power & Infrastructure Ltd.,,0.04,0.04,0.04,5.53,5.53,0,0.06,0.05,0.04,0.04,0.04,,71.2,70.1,70.1,64.6,0.74,0.77,0.25,0.42,0,,0.97,0.97,0,0,0,0,0,,645.74,64.57,90.69,32.69,0,0.37,32.7,0.02,
HAL,Hindustan Aeronautics Ltd.,,173.79,173.79,227.13,702.96,702.96,55,805.28,249.25,195.9,194.17,173.78,,30.95,24.32,24.11,21.58,24.72,18.05,8.65,0,0.43,,1.68,1.29,0.75,28.77,22.01,71.23,77.99,,"70,990.68",2.64,8.52,3.39,71.22,3.88,3.39,0.06,
HARRMALAYA,Harrisons Malyalam Ltd.,,9.63,9.63,12,84.64,84.64,0,263.77,18.63,16.26,9.63,9.63,,7.06,6.16,3.65,3.65,11.38,11.69,3.99,0.59,1.13,,0.45,0.25,2.99,0,0,0,0,,288.68,0.59,8.4,0.41,0,1.27,0.41,0.09,
HATSUN,Hatsun Agro Products Ltd.,,7.54,7.54,23.67,64.67,64.67,6,325.29,31.96,15.73,10.08,7.44,,9.82,4.83,3.09,2.28,11.51,13.7,4.42,1.01,1.99,,0.64,0.15,8.66,77.98,24.52,22.02,75.48,,"20,296.12",2.8,28.51,2.61,22.01,13.11,2.61,0.01,
HAVELLS,Havells India Ltd.,,17.16,17.16,21.88,105.58,105.58,7.5,269.25,28.41,23.69,23.15,17.16,,10.55,8.79,8.59,6.37,16.25,20.29,9.64,0,1.56,,1.84,0.87,2.79,43.71,34.27,56.29,65.73,,"72,594.52",4.3,40.78,4.41,56.28,11.26,4.41,0.01,
HBLPOWER,HBL Power Systems Ltd.,,3.42,3.42,4.68,34.48,34.48,0.45,48.69,5.97,4.73,4.56,3.45,,12.26,9.72,9.35,7.07,9.99,12.99,7.38,0.08,1.11,,3.09,1.92,2.61,11.6,8.53,88.4,91.47,,"2,571.09",1.9,15.53,1.96,88.39,2.76,1.96,0.04,
HBSL,HB Stockholdings Ltd.,,-2.74,-2.74,-2.24,87.39,87.39,1,3.88,-2.32,-2.63,-2.68,-2.55,,-59.68,-67.74,-69.09,-65.72,-2.91,-2.95,-2.82,0.01,0.04,,68.59,68.59,0,-36.44,-41.54,136.44,141.54,,35.49,11.91,-19.96,11.85,136.44,0.53,11.85,-0.06,
HCC,Hindustan Construction Company Ltd.,,1.67,1.67,2.19,4.76,4.76,0,34.51,5.11,4.6,1.68,1.67,,14.81,13.31,4.88,4.85,35.15,17.71,3.02,2.71,0.53,,1.13,1.09,0,0,0,0,0,,"3,764.65",0.72,4.87,0.4,0,2.87,0.4,0.12,
HCLTECH,HCL Technologies Ltd.,,42.32,42.27,51.16,151.4,151.4,48,170.45,63.62,54.67,54.2,42.21,,37.32,32.07,31.8,24.76,27.87,34.76,21.47,0,0.87,,2.68,2.68,0,113.4,93.55,-13.4,6.45,,"288,863.30",6.24,16.72,6.37,-13.4,7.17,6.37,0.04,
HDFCAMC,HDFC Asset Management Company  Ltd.,,66.75,66.75,69.22,281,281,48,101.53,90.6,88.1,87.65,66.72,,89.23,86.77,86.33,65.71,23.74,30.01,21.78,0,0.35,,23.24,23.24,0,62.91,60.64,37.09,39.36,,"36,399.04",16.8,18.82,16.8,37.08,6.07,16.8,0.04,
HDFCBANK,HDFC Bank Ltd.,,79.25,78.89,83.07,502.17,502.17,19,289.59,79.05,,"9,328,234.10","2,546,368.33","201,128,063.77",,"206,604,701.06","56,397,777.01","4,454,648,441.76",,2.97,44.38,27.29,7.97,1.78,15.74,3.52,38.35,6.55,1.26,0.52,1.93,3.03,,"2,871,198.57",17.77,3.21,5.56,100,0.05,,
HDFCLIFE,HDFC Life Insurance Company Ltd.,,6.38,6.37,6.68,60.41,60.41,1.9,326.05,6.88,6.53,6.15,6.33,,2.11,2,1.88,1.94,10.47,0.58,0.54,0.07,0.31,,0.86,0.86,0,26.41,25.02,73.59,74.98,,"107,143.45",1.53,72.44,1.53,73.58,8.27,1.53,0.01,
HEG,HEG Ltd.,,118.02,118.02,144.53,"1,056.39","1,056.39",42.5,639.25,188.82,162.32,155.58,118.02,,29.53,25.39,24.33,18.46,11.17,15.01,8.29,0.18,0.46,,2.16,1.07,1.09,33.89,27.67,66.11,72.33,,"3,612.93",1.46,4.96,1.44,66.1,0.87,1.44,0.13,
HERCULES,Hercules Hoists Ltd.,,32.28,32.28,33.52,220.83,220.83,3,47.12,10.75,9.51,36.29,32.28,,22.81,20.19,77.01,68.51,14.61,4.08,13.35,0,0.21,,4.65,3.67,3.19,7.27,7.01,92.73,92.99,,555.18,3.68,16.14,3.79,92.72,0.81,3.79,0.18,
HERITGFOOD,Heritage Foods Ltd.,,7.19,7.19,12.9,79.39,79.39,2.5,345.78,15.77,9.97,9.63,7.1,,4.56,2.88,2.78,2.05,8.94,11.35,5.87,0.17,3.19,,1.44,0.24,9.6,17.6,9.68,82.4,90.32,,"1,447.76",0.45,9.89,0.42,82.39,1.82,0.42,0.05,
HEROMOTOCO,Hero Motocorp Ltd.,,145.66,145.52,178.51,835.88,835.88,100,"1,691.55",227.74,194.87,193.87,145.64,,13.46,11.52,11.46,8.6,17.42,22.07,12.51,0,1.5,,1.61,1.35,18.79,68.65,56.01,31.35,43.99,,"46,562.29",1.38,10.23,1.39,31.34,2.81,1.39,0.06,
HEUBACHIND,Heubach Colorants India Ltd.,,8.31,8.31,17.15,187.34,187.34,0,332.04,28.98,20.15,17.32,8.31,,8.72,6.06,5.21,2.5,4.43,10.43,2.89,0,1.18,,2.07,1.47,2.78,0,0,0,0,,575.03,0.75,8.6,0.8,0,1.42,0.8,0.03,
HGINFRA,HG Infra Engineering Ltd.,,64.66,64.66,79.44,272.89,272.89,0,677.99,111.76,96.98,87.27,64.66,,16.48,14.3,12.87,9.53,23.69,30.82,12,0.28,1.5,,1.36,1.2,10.23,1.54,1.25,98.46,98.75,,"5,416.44",1.23,7.44,1.15,98.45,2.86,1.15,0.08,
HIKAL,Hikal Ltd.,,6.36,6.36,15.2,91.93,91.93,1.2,164.07,21.29,12.45,8.54,6.36,,12.97,7.58,5.2,3.87,6.91,8.9,3.28,0.66,0.88,,1.42,0.94,3.47,15.73,6.57,84.27,93.43,,"4,164.25",2.06,15.87,1.72,84.26,3.07,1.72,0.02,
HIL,HIL Ltd.,,172.95,172.91,248.72,"1,472.86","1,472.86",45,"2,848.99",301.88,225.13,216.37,171.98,,10.59,7.9,7.59,6.03,11.67,14.41,7.76,0.11,1.34,,1.17,0.43,3.39,37.57,25.98,62.43,74.02,,"1,922.82",0.89,8.42,0.84,62.42,1.63,0.84,0.07,
HIMATSEIDE,Himatsingka Seide Ltd.,,-3.07,-3.07,8.92,169.34,169.34,0,208.49,29.48,17.49,-4.3,-3.07,,14.14,8.39,-2.06,-1.47,-1.81,4.99,-0.56,1.57,0.38,,1.03,0.91,3.24,-16.3,5.6,116.3,94.4,,"3,187.08",1.55,10.98,0.33,116.3,0.41,0.33,-0.04,
HINDCOMPOS,Hindustan Composites Ltd.,,18.6,18.6,24.51,624.91,624.91,2,191.41,28.07,22.16,22.07,18.6,,14.66,11.57,11.53,9.71,2.97,3.42,2.74,0,0.28,,2.5,2.21,9.83,10.75,8.15,89.25,91.85,,360.36,1.27,8.69,1.28,89.24,0.39,1.28,0.08,
HINDCOPPER,Hindustan Copper Ltd.,,3.05,3.05,4.86,21.53,21.53,0.92,17.35,6.07,4.26,4.09,3.05,,34.96,24.53,23.58,17.6,14.18,19.17,9.89,0.08,0.56,,0.84,0.7,0.13,37.98,23.85,62.02,76.15,,"9,374.75",5.59,15.98,5.68,62.01,4.57,5.68,0.03,
HINDMOTORS,Hindustan Motors Ltd.,,0,0,0.03,-0.77,-0.43,0,0,-0.07,-0.09,-0.05,0,,0,0,0,0,-0.27,32.38,0.16,0,0,,0.3,0.3,0,0,0,0,0,,263.39,0,-192.48,0,0,-16.78,0,0,
HINDPETRO,Hindustan Petroleum Corporation Ltd.,,-63.26,-63.26,-32.73,195.31,195.31,0,"3,103.75",-38.43,-68.95,-83.97,-63.24,,-1.23,-2.22,-2.7,-2.03,-32.38,-12.07,-5.8,2.33,2.89,,0.59,0.19,3.81,0,0,0,0,,"97,579.15",0.22,-17.89,0.08,0,1.21,0.08,-0.27,
HINDUNILVR,Hindustan Unilever Ltd.,,42.4,42.4,46.77,213.71,213.71,39,251.68,60.73,56.35,55.66,42.39,,24.13,22.38,22.11,16.84,19.83,21.99,13.86,0,0.84,,1.38,1.03,4.86,84.91,76.95,15.09,23.05,,"596,884.25",10.09,41.82,10.17,15.08,11.97,10.17,0.02,
HINDZINC,Hindustan Zinc Ltd.,,24.9,24.9,32.62,30.63,30.63,75.5,80.71,44.72,36.99,36.21,24.9,,55.41,45.83,44.86,30.85,81.28,86.77,29.67,0.91,0.85,,0.85,0.75,0,303.24,231.43,-203.24,-131.43,,"134,390.50",3.94,7.11,3.64,-203.24,9.58,3.64,0.08,
HIRECT,Hind Rectifiers Ltd.,,-3.84,-3.84,-0.71,65.24,65.24,0,209.71,8.96,5.96,-5.07,-3.72,,4.27,2.84,-2.41,-1.77,-5.69,7.21,-2.17,0.94,1.33,,1.23,0.62,3.42,0,0,0,0,,436.09,1.21,28.41,0.93,0,2.98,0.93,-0.02,
HISARMETAL,Hisar Metal Ltd.,,20.28,20.28,24.3,100.46,100.46,1,511.17,43.09,39.08,28.83,20.28,,8.43,7.64,5.64,3.96,20.18,27.67,7.55,1.26,1.96,,1.71,0.91,3.76,4.93,4.11,95.07,95.89,,131.24,0.48,5.64,0.24,95.06,1.25,0.24,0.16,
HITECHCORP,Hitech Corporation Ltd.,,16.49,16.49,33.15,141.6,141.6,1,325.27,44.21,27.55,21.75,16.49,,13.59,8.47,6.68,5.07,11.64,17.72,8.32,0.25,1.61,,1.19,0.68,8.56,6.06,3.01,93.94,96.99,,326.99,0.59,4.31,0.48,93.93,1.1,0.48,0.11,
HITECHGEAR,The Hi-Tech Gears Ltd.,,26.82,26.79,43.66,211.86,211.86,2.5,416.57,62.92,46.08,36.98,26.82,,15.1,11.06,8.87,6.43,12.66,18.63,6.91,0.44,1.09,,1.21,0.91,5.05,0,0,0,0,,590.73,0.76,5,0.61,0,1.19,0.61,0.11,
HLVLTD,HLV Ltd.,,0.12,0.12,0.29,6.35,6.35,0,2.62,0.39,0.22,0.13,0.12,,14.95,8.5,4.97,4.42,1.82,3.27,1.35,0.02,0.31,,1.49,1.43,0,0,0,0,0,,562.15,3.25,21.74,3.49,0,1.44,3.49,0.01,
HMVL,Hindustan Media Ventures Ltd.,,-6.45,-6.45,-2.31,200.5,200.5,0,96.84,-1.19,-5.32,-8.6,-6.45,,-1.22,-5.49,-8.88,-6.65,-3.21,-2.57,-2.17,0.04,0.33,,1.26,1.16,4.46,0,0,0,0,,329.66,0.46,-37.59,0.43,0,0.21,0.43,-0.15,
HONAUT,Honeywell Automation Ltd.,,495.4,495.4,554.19,"3,606.91","3,606.91",95,"3,899.99",732.02,673.33,668.85,495.49,,18.76,17.26,17.14,12.7,13.73,18.46,9.84,0,0.81,,3.34,3.2,11.17,18.16,16.24,81.84,83.76,,"29,827.00",8.65,46.09,9.34,81.83,10.1,9.34,0.01,
HOVS,HOV Services Ltd.,,2.08,2.08,2.56,18.31,18.31,0,9.57,3.45,2.97,2.84,2.08,,36.04,31.03,29.7,21.67,11.33,15.51,9.84,0,0.47,,4.75,4.75,0,0,0,0,0,,47.96,3.98,11.04,4.38,0,2.29,4.38,0.05,
HPL,HPL Electric & Power Ltd.,,4.32,4.32,9.75,122.47,122.47,1,188.94,23.11,17.68,6.65,4.32,,12.23,9.35,3.51,2.28,3.52,13.38,1.7,0.71,0.76,,1.46,0.86,1.71,0.43,0.19,99.57,99.81,,"1,036.15",0.85,6.97,0.45,99.56,0.69,0.45,0.05,
HSCL,Himadri Speciality Chemical Ltd.,,4.94,4.94,5.93,51.2,51.2,0.25,96.41,9.62,8.5,6.28,4.8,,9.97,8.81,6.51,4.98,9.37,15.54,5.76,0.38,1.19,,1.51,1.07,5,4.03,3.27,95.97,96.73,,"3,993.28",0.96,9.59,0.91,95.96,1.71,0.91,0.05,
HTMEDIA,HT Media Ltd.,,-11.9,-11.9,-8.22,36.75,36.75,0,39.83,1.67,-2.02,-9.03,-11.9,,4.18,-5.05,-22.66,-29.86,-32.38,-4.62,-13.08,0.79,0.41,,0.54,0.46,3.48,0,0,0,0,,962.94,1.05,24.99,0.38,0,0.41,0.38,-0.79,
HUBTOWN,Hubtown Ltd.,,1.47,1.47,1.77,188.3,188.3,0,28.69,3.82,3.47,-2.76,1.42,,13.31,12.08,-9.62,4.93,0.75,1.81,0.3,0.28,0.06,,1.05,0.49,0,0,0,0,0,,627.23,2.86,21.51,1.08,0,0.16,1.08,0.05,
HUDCO,Housing & Urban Development Corporation Ltd.,,8.5,8.5,8.56,77.15,77.15,3.85,35.21,34.01,33.95,11.44,8.5,,96.57,96.41,32.47,24.13,11.01,10.44,2.1,4.07,0.09,,5.06,5.06,0,8.82,8.76,91.18,91.24,,"71,512.46",10.14,10.5,1.23,91.17,0.56,1.23,0.2,
IBULHSGFIN,Indiabulls Housing Finance Ltd.,,17.38,17.28,19.12,339.88,339.88,1.25,156.14,134,132.25,23.45,17.37,,85.81,84.69,15.01,11.12,5.11,38.08,1.2,2.96,0.1,,1.27,1.27,0,0,0,0,0,,"47,824.61",6.49,7.57,0.62,0,0.29,0.62,0.18,
ICICIBANK,ICICI Bank Ltd.,,45.79,44.89,47.57,283.01,287.4,8,156.41,45.67,,"8,623,980.58","2,518,276.98","173,731,170.26",,"185,137,861.02","54,061,857.97","3,729,625,427.97",,3.27,45.83,29.2,11.04,2.01,16.13,3.92,38.79,6.89,1.25,0.76,2.07,2.97,,"1,844,265.53",16.88,3.1,5.61,89.09,0.05,,
ICICIGI,ICICI Lombard General Insurance Company Ltd.,,35.21,35.16,38.1,212.64,212.64,10,363.98,47.55,44.66,43.01,35.21,,13.06,12.26,11.81,9.67,16.55,20.61,3.13,0,0.34,,0.25,0.25,0,26.98,24.92,73.02,75.08,,"52,355.24",2.93,22.42,2.94,73.01,5.03,2.94,0.03,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,,5.64,5.63,6.22,69.92,70.15,0.6,343.4,10.87,10.29,9.5,5.64,,3.16,2.99,2.76,1.64,8.06,0.59,0.31,0.12,0.2,,1.01,1.01,0,9.75,8.84,90.25,91.16,,"63,093.31",1.28,40.35,1.27,90.24,6.23,1.27,0.01,
ICIL,Indo Count Industries Ltd.,,12.03,12.03,15.18,89.1,89.1,2,140.55,22.4,19.24,16.33,12.03,,15.93,13.68,11.61,8.55,13.49,18.48,7.95,0.48,0.92,,1.77,0.94,1.58,16.57,13.12,83.43,86.88,,"2,979.43",1.07,6.72,0.8,83.42,1.26,0.8,0.11,
IDEA,Vodafone Idea Ltd.,,-8.43,-8.43,-1.43,-15.17,-15.17,0,8.61,3.4,-1.19,-6.02,-6.02,,39.47,-13.87,-69.91,-69.91,0,-3.94,-14.13,-2.73,0.21,,0.3,0.3,0,0,0,0,0,,"229,380.49",5.47,13.86,0.68,0,-0.38,0.68,-1.03,
IDFCFIRSTB,IDFC First Bank  Ltd.,,3.91,3.84,4.32,38.86,38.86,0,34.34,3.68,,"6,428,927.53","689,390.95","83,851,505.29",,"280,933,802.22","30,125,276.89","3,664,176,038.32",,2.16,49.76,10.72,-8.93,1.01,9.47,5.26,53.92,9.47,1.86,-0.84,5.07,4.2,,"227,522.57",10.01,1.42,1.6,100,0.07,,
IEX,Indian Energy Exchange Ltd.,,3.27,3.27,3.49,8.81,8.81,0,4.5,4.6,4.39,4.36,3.29,,102.2,97.57,96.95,73.01,37.31,47.21,20.34,0,0.26,,1.26,1.26,0,0,0,0,0,,"11,329.75",28.26,27.65,28.42,0,14.53,28.43,0.03,
IFBAGRO,IFB Agro Industries Ltd.,,54.45,54.45,74.43,589.07,589.07,0,"1,330.27",96.31,76.31,74.34,54.43,,7.23,5.73,5.58,4.09,9.23,12.28,8.07,0.03,2.04,,8.17,6.14,8.2,0,0,0,0,,245.2,0.2,2.72,0.32,0,0.73,0.32,0.13,
IFBIND,IFB Industries Ltd.,,4.25,4.25,33.11,159.05,159.05,0,994.2,44.33,15.39,8.33,4.18,,4.45,1.54,0.83,0.42,2.62,6.64,0.83,0.3,2.02,,1.09,0.58,3.82,0,0,0,0,,"3,168.80",0.77,17.32,0.75,0,4.66,0.75,0.01,
IFGLEXPOR,IFGL Refractories Ltd.,,16.97,16.97,29.26,172.67,172.67,7,231.24,37.22,24.93,23.66,16.97,,16.09,10.78,10.23,7.34,9.83,12.71,7,0.17,0.98,,2.98,1.94,2.18,41.23,23.92,58.77,76.08,,859.43,1.03,6.41,0.91,58.76,1.22,0.91,0.08,
IGARASHI,Igarashi Motors Ltd.,,1.66,1.66,16.65,139.65,139.65,1,208.5,21.73,6.75,2.89,1.66,,10.42,3.23,1.38,0.79,1.19,4.3,0.72,0.21,0.94,,1.41,0.95,4.68,0,0,0,0,,"1,182.18",1.8,17.28,1.67,0,2.49,1.67,0,
IGL,Indraprastha Gas Ltd.,,20.64,20.64,25.83,101.24,101.24,13,202.08,32.88,27.69,27.54,20.64,,16.27,13.7,13.62,10.21,20.39,25.69,12.27,0,1.27,,1,0.99,0,89.61,71.61,10.39,28.39,,"27,361.77",1.93,11.89,2.12,10.38,4.23,2.12,0.05,
IGPL,IG Petrochemicals Ltd.,,65.05,65.05,80.44,399.58,399.58,10,763.79,110.38,94.98,87.22,65.05,,14.45,12.43,11.41,8.51,16.27,19.58,10.27,0.17,1.32,,1.75,1.39,11.28,15.37,12.43,84.63,87.57,,"1,300.04",0.55,3.82,0.54,84.62,1.03,0.54,0.16,
IITL,Industrial Investment Trust Ltd.,,19.07,19.07,19.49,157.64,157.64,0,6.78,23.18,22.76,22.68,19.07,,342.08,335.93,334.75,281.43,12.09,14.26,11.93,0,0.04,,668.69,668.69,0,0,0,0,0,,177.79,11.64,3.4,12.78,0,0.55,12.78,0.22,
IMPAL,India Motor Parts and Accessories Ltd.,,59.03,59.03,59.76,"1,092.90","1,092.90",24,566.98,74.28,73.55,73.54,59.03,,13.1,12.97,12.97,10.41,5.4,6.42,4.92,0,0.5,,3.94,2.76,0,37.27,36.81,62.73,63.19,,726.26,1.03,7.83,1.05,62.72,0.54,1.05,0.1,
IMPEXFERRO,Impex Ferro Tech Ltd.,,-3.82,-3.82,-3.07,-31.65,-31.65,0,16.31,-4.44,-5.2,-3.82,-3.82,,-27.25,-31.86,-23.43,-23.43,0,481.74,-16.38,-0.96,0.63,,0.26,0.12,2.62,0,0,0,0,,289.24,2.02,-7.4,0.15,0,-0.08,0.15,-1.54,
INCREDIBLE,Incredible Industries Ltd.,,1.05,1.05,2.26,27.08,27.08,0,158.37,3.88,2.68,1.53,1.05,,2.45,1.69,0.96,0.66,3.87,8.39,2.34,0.32,3.6,,2.75,1.9,13.83,0,0,0,0,,123.89,0.17,6.82,0.12,0,0.68,0.12,0.06,
INDBANK,Indbank Merchant Banking Services Ltd.,,0.79,0.79,0.87,16.79,16.79,0,4.12,1.43,1.35,1.15,0.79,,34.74,32.71,27.84,19.17,4.7,7.96,3.59,0.04,0.19,,3.99,3.99,0,0,0,0,0,,26.31,1.44,4.15,5.11,0,1.25,5.12,0.04,
INDIACEM,India Cements Ltd.,,-6.07,-6.07,0.79,166.65,180.67,0,173.63,-4.52,-11.4,-13.13,-6.08,,-2.6,-6.56,-7.56,-3.5,-3.65,-4.19,-1.68,0.57,0.47,,1.15,0.87,1.18,-16.43,126.78,116.43,-26.78,,"8,632.85",1.6,-61.57,1.06,116.43,1.11,1.06,-0.03,
