Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
AUTOAXLES,Automotive Axles Ltd.,,"2,256.59",0,"2,256.59","2,323.70",4.92,"2,328.62",,"1,675.15",0,0,-6.4,127.01,2.92,41.37,270.48,"2,110.53",218.1,0,218.1,,52.73,0,3.34,0,56.07,162.03,162.03,162.03,,,107.22,107.22,,0,0,,0,0.0,,22.67,0.0,320
AVADHSUGAR,Avadh Sugar & Energy Ltd.,,"2,790.37",0,"2,790.37","2,798.01",9.25,"2,807.27",,"2,072.29",24.3,0,99.59,120.43,69.31,51.12,226.63,"2,663.67",143.6,0,143.6,,24.92,0,18.44,0,43.36,100.24,100.24,100.24,,,50.07,50.07,,0,0,,0,0.0,,20.02,0.0,100
AVANTIFEED,Avanti Feeds Ltd.,,"4,041.35",0,"4,041.35","4,041.36",62.75,"4,104.11",,"3,476.05",1.82,36.34,-33.18,130.73,0.74,23.02,161.78,"3,797.30",306.81,0,306.81,,72.66,0,1.3,0,73.96,232.84,232.84,232.84,,,17.09,17.09,,0,0,,0,0.0,,85.15,0.0,625
AVTNPL,AVT Natural Products Ltd.,,582.25,0,582.25,582.25,2.32,584.57,,274.24,0,0,-36.03,60.54,4.15,13.36,166.08,482.35,102.22,0,102.22,,27.5,0,-0.32,0,27.18,75.04,75.04,75.04,,,4.93,4.93,,0,0,,0,0.0,,15.23,0.0,100
AXISBANK,Axis Bank Ltd.,,"64,553.81","18,178.73",899.01,"1,532.22","85,163.77","16,500.87","101,664.64",,"42,218.02","8,760.05","13,094.48","17,801.46","39,655.99","6,290.88","1,035.29","2,884.78","10,210.95","92,084.96","9,579.68","9,579.68","38,100.66","47,680.34",,"2,394.92",67.84,0,0,307.14,0.0,"44,144.93","47,680.34",,,31.17,31.02,,50,,,,,
AXISCADES,Axiscades Technologies Ltd.,,283.15,0,283.15,283.15,1.55,284.7,,0,0,0,0,172.93,33.42,10.94,69.42,286.71,-2.01,-16.65,-18.66,,1.46,0,3.11,-3.41,1.17,-19.83,-19.83,-19.83,,,-5.21,-5.21,,0,0,,0,0.0,,0,0.0,0
AYMSYNTEX,AYM Syntex Ltd.,,"1,426.30",0,"1,426.30","1,457.78",7.87,"1,465.65",,873.97,0,0,-1.93,65.48,35.99,56.52,424.98,"1,455.02",10.64,0,10.64,,4.36,0,-0.89,0,3.47,7.17,7.17,7.17,,,1.43,1.41,,0,0,,0,0.0,,0,0.0,0
BAGFILMS,BAG Films and Media Ltd.,,27.36,0,27.36,35.32,0.28,35.6,,0,0,0,-2.59,2.92,3.67,2.26,29.22,35.48,0.12,0,0.12,,0,0,0.39,0,0.39,-0.27,-0.27,-0.27,,,-0.02,-0.02,,0,0,,0,0.0,,0,0.0,0
BAJAJCON,Bajaj Consumer Care Ltd.,,938.11,0,938.11,949.93,37.09,987.02,,252.48,182.26,10.01,2.64,86.71,0.92,8.09,274.42,817.54,169.48,0,169.48,,29.61,0,0,0.06,29.67,139.82,139.82,139.82,,,9.52,9.51,,0,0,,0,0.0,,59.02,0.0,500
BAJAJELEC,Bajaj Electricals Ltd.,,"5,328.42",0.00,"5,328.42","5,417.41",83.32,"5,500.73",,516.78,"3,243.03",54.09,-45.56,419.09,47.70,75.42,872.45,"5,183.00",317.73,0.00,317.73,,51.79,0.00,35.43,0.0,87.22,230.51,230.51,230.51,,,20.05,20.01,,0.0,0.00,,0.0,0.0,,34.46,0.0,200.00
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,,"6,143.20",0,"6,143.20","6,302.32",17.02,"6,319.34",,"5,074.48",0,0,104.53,378.7,210.1,213.17,489.7,"6,470.68",-151.34,0,-151.34,,0,0,-3.6,0,-3.6,-147.74,-147.74,-147.74,,,-1.19,-1.19,,0,0,,0,0.0,,0,0.0,0
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,,"1,875.15",0,"1,875.15","1,875.15",61.86,"1,937.01",,0,0,0,0,42,6.94,31.84,77.38,158.16,"1,778.85",0,"1,778.85",,62.97,0,4.3,0,67.27,"1,711.58","1,711.58","1,711.58",,,153.8,153.8,,0,0,,0,0.0,,"1,502.46",0.0,"1,230.00"
BALAMINES,Balaji Amines Ltd.,,"1,719.69",0,"1,719.69","1,726.28",9.76,"1,736.04",,"1,015.23",0,210.49,-10.12,80.19,2.73,31.26,100.88,"1,430.67",305.37,0,305.37,,72.1,0,6.28,-0.55,77.83,227.54,227.54,227.54,,,70.18,70.18,,0,0,,0,0.0,,19.44,0.0,500
BALAXI,Balaxi Pharmaceuticals Ltd.,,108.14,0,108.14,108.14,6.6,114.74,,82.1,0,0,0,4.04,0.46,0.52,5.18,92.29,22.45,0,22.45,,5.17,0,1.06,0,6.23,16.22,16.22,16.22,,,16.17,16.02,,0,0,,0,0.0,,0.5,0.0,0
BALKRISHNA,Balkrishna Paper Mills Ltd.,,103.91,0,103.91,109.3,0.15,109.45,,64.67,1.87,0,8.37,9.67,10.31,6.12,60.47,161.48,-52.04,0,-52.04,,0,0,-0.16,0,-0.16,-51.88,-51.88,-51.88,,,-48.3,-48.3,,0,0,,0,0.0,,0,0.0,0
BALMLAWRIE,Balmer Lawrie & Co Ltd.,,"2,198.60",0,"2,198.60","2,309.98",73.11,"2,383.09",,"1,600.55",37.34,0,-13.77,250.49,9.82,46.93,240.43,"2,171.79",211.3,0,211.3,,52.97,0,4.48,0,57.44,153.86,153.86,153.86,,,9,9,,6.27,"1,013.00",,0.41,8.41,,111.15,0.0,75
BALPHARMA,Bal Pharma Ltd.,,300.59,0,300.59,303.1,2.15,305.25,,176.45,11.39,0,-17.9,51.91,12.16,7.48,55.22,296.7,8.55,0,8.55,,2.58,0,0.39,-0.55,2.42,6.13,6.13,6.13,,,3.9,3.94,,0,0,,0,0.0,,1.56,0.0,10
BALRAMCHIN,Balrampur Chini Mills Ltd.,,"4,665.86",0.00,"4,665.86","4,665.86",62.79,"4,728.65",,"3,419.40",0.00,0.00,-10.16,363.79,48.65,129.50,380.50,"4,331.68",396.97,0.00,396.97,,69.42,0.00,52.02,0.0,121.44,275.53,275.53,275.53,,,13.51,13.51,,0.0,0.00,,0.0,0.0,,50.84,0.0,250.00
BANARBEADS,Banaras Beads Ltd.,,26.97,0,26.97,26.97,1.8,28.77,,11.43,0,3.61,-2.59,4.99,0.79,1.23,5.89,25.35,3.42,0,3.42,,0.85,0,0.02,0,0.87,2.54,2.54,2.54,,,3.83,3.83,,0,0,,0,0.0,,1.33,0.0,20
BANARISUG,Bannariamman Sugars Ltd.,,"2,519.44",0.00,"2,519.44","2,525.58",39.36,"2,564.94",,"1,702.03",4.08,0.00,49.96,143.87,49.32,74.04,321.42,"2,344.72",220.21,0.00,220.21,,44.27,0.00,32.55,0.0,76.82,143.39,143.39,143.39,,,114.35,114.35,,0.0,"1,805.44",,3.06,269.77,,12.54,0.0,125.00
BANCOINDIA,Banco Products (India) Ltd.,,979.4,0,979.4,"1,003.79",132.44,"1,136.23",,635.23,0,0,-13.85,51.41,0.35,21.11,161.03,855.28,280.95,0,280.95,,42.82,0,-3.55,-3.87,35.4,245.55,245.55,245.55,,,34.33,34.33,,0,0,,0,0.0,,57.21,0.0,"1,100.00"
BANDHANBNK,Bandhan Bank Ltd.,,"13,775.16","1,886.30",69.37,173.87,"15,904.70","2,468.55","18,373.25",,"6,645.08","2,715.07",142.65,"1,779.10","4,636.82",589.74,108.6,"4,198.37","4,896.71","16,178.61","2,194.64","2,194.64","6,009.94","8,204.57",,717.86,1.74,0,0,0,0.0,"7,453.78","8,204.57",,,13.62,13.62,,0,,,,,
BANKINDIA,Bank Of India,,"33,367.61","11,943.20","1,666.38",670.54,"47,647.72","7,099.89","54,747.61",,"27,372.82","8,391.84",420.92,"5,169.42","13,982.17","2,206.37",0,"7,163.31","9,369.68","50,724.67","4,022.94","4,022.94","1,998.65","6,021.59",,"1,006.00",0,0,0,820.71,0.0,"3,662.67","6,021.59",,,9.8,9.8,,20,,,,,
BANSWRAS,Banswara Syntex Ltd.,,"1,478.14",0,"1,478.14","1,498.78",14.59,"1,513.37",,667.83,0,0,-39.03,286.26,31.74,40.77,385.61,"1,373.18",140.19,0,140.19,,36.57,0,-7.77,-0.01,28.78,111.41,111.41,111.41,,,32.55,32.55,,0,0,,0,0.0,,4.28,0.0,60
BASF,BASF India Ltd.,,"13,628.42",0,"13,628.42","13,644.77",37.44,"13,682.21",,"4,711.64","6,959.21",0,-194.01,392.11,13.91,182.08,"1,089.18","13,154.12",528.09,15.31,543.4,,143.6,0,-5.67,2.58,140.51,402.89,402.89,402.89,,,93.1,93.1,,0,0,,0,0.0,,25.97,0.0,80
BASML,Bannari Amman Spinning Mills Ltd.,,"1,084.34",0,"1,084.34","1,095.14",3.72,"1,098.85",,894.84,0.87,0,-52.36,96.54,47.63,29.21,132.63,"1,149.35",-50.49,0,-50.49,,0,0,-15.66,0,-15.66,-34.83,-34.83,-34.83,,,-5.37,-5.37,,0,0,,0,0.0,,3.89,0.0,0
BATAINDIA,Bata India Ltd.,,"3,450.56",0,"3,450.56","3,451.57",37.35,"3,488.92",,261.62,"1,288.11",0,-36.09,418.69,107.85,294.74,728.38,"3,063.29",425.63,0,425.63,,115.71,0,-9.2,0,106.51,319.12,319.12,319.12,,,24.83,24.83,,0,0,,0,0.0,,700.48,0.0,270
BBL,Bharat Bijlee Ltd.,,"1,405.37",0,"1,405.37","1,418.50",29.06,"1,447.56",,"1,108.85",26.71,0,-96.94,147.38,22.07,12.93,115.2,"1,336.20",111.36,0,111.36,,26.86,0,1.38,-0.1,28.14,83.22,83.22,83.22,,,147.26,147.26,,0,0,,0,0.0,,16.95,0.0,400
BBTC,Bombay Burmah Trading Corporation Ltd.,,240.71,0,240.71,244.59,90.1,334.68,,121.35,3.16,0,-3.16,87.67,87.35,7.11,74.23,377.7,-43.02,-186.22,-229.24,,0,0,0,0,0,-229.24,-229.24,8.79,,,1.26,1.26,,0,0,,0,0.0,,8.37,0.0,60
BEARDSELL,Beardsell Ltd.,,218.95,0,218.95,219.57,2.17,221.74,,138.8,18.31,0,0.34,17.07,3.47,5.01,27.49,210.48,11.26,0,11.26,,2.88,0,-0.01,0,2.87,8.39,8.39,8.39,,,2.24,2.24,,0,0,,0,0.0,,0.3,0.0,5
BEDMUTHA,Bedmutha Industries Ltd.,,686.04,0,686.04,686.78,61.37,748.15,,571.98,0,66.55,0.8,18.9,33.58,31.9,11.82,735.52,12.62,0,12.62,,0,0,0,0,0,12.62,12.62,12.62,,,3.91,3.91,,0,581.42,,0,0.0,,0,0.0,0
BEL,Bharat Electronics Ltd.,,"17,333.37",0,"17,333.37","17,646.20",360.02,"18,006.22",,"9,378.44",827.85,0,-397.45,"2,297.73",14.79,407.87,"1,492.11","14,021.34","3,984.88",0,"3,984.88",,874.46,0,123.76,-20.01,978.21,"3,006.67","3,006.67","3,006.67",,,4.11,4.11,,0,0,,0,0.0,,"1,242.70",0.0,180
BEPL,Bhansali Engineering Polymers Ltd.,,"1,607.79",245.23,"1,362.56","1,362.56",28.91,"1,391.47",,874.41,77.09,0.00,34.00,46.78,1.17,9.92,153.31,"1,196.68",194.79,0.00,194.79,,58.51,0.00,0.35,0.0,58.86,135.93,135.93,135.93,,,8.19,8.19,,0.0,0.00,,0.0,0.0,,49.77,0.0,"1,700.00"
BERGEPAINT,Berger Paints India Ltd.,,"9,321.07",0,"9,321.07","9,470.62",77.15,"9,547.77",,"5,270.87",910.9,0,-94.65,458.12,86.28,234,"1,579.53","8,445.05","1,102.72",0,"1,102.72",,271.75,0,2.58,0,274.33,828.39,828.39,828.39,,,8.53,8.53,,0,0,,0,0.0,,301.11,0.0,320
BGRENERGY,BGR Energy Systems Ltd.,,790.07,0,790.07,806.27,51.29,857.56,,559.12,0,138.04,1.18,125.55,399.42,16.74,252.7,"1,492.75",-635.19,0,-635.19,,0,0,-156.65,0,-156.65,-478.54,-478.54,-478.54,,,-66.32,-66.32,,0,0,,0,0.0,,0,0.0,0
BHAGERIA,Bhageria Industries Ltd.,,499.22,0,499.22,501.49,3.61,505.1,,340.41,4.19,0,8.24,20.05,2.99,34.43,74.07,484.38,20.71,0,20.71,,8.3,0,-2.63,0,5.67,15.05,15.05,15.05,,,3.45,3.45,,0,0,,0,0.0,,17.46,0.0,20
BHANDARI,Bhandari Hosiery Exports Ltd.,,283.23,0,283.23,283.23,0.09,283.31,,216.33,0,27.3,-3.91,12.24,10.34,5.21,7.92,275.42,7.89,0,7.89,,1.6,0,-0.22,0,1.38,6.51,6.51,6.51,,,0.44,0.44,,0,216.34,,0.06,2.42,,0.15,0.0,1
BHARATFORG,Bharat Forge Ltd.,,"7,148.38",0.00,"7,148.38","7,572.71",150.50,"7,723.21",,"3,350.66",0.00,0.00,-67.31,543.01,212.69,425.96,"1,835.25","6,300.25","1,422.96",-40.21,"1,382.75",,375.93,0.00,-38.65,0.0,337.27,"1,045.47","1,045.47","1,045.47",,,22.45,22.45,,0.0,0.00,,0.0,0.0,,325.91,0.0,350.00
BHARATGEAR,Bharat Gears Ltd.,,747.31,0,747.31,766.37,8.76,775.12,,416.42,0,0,-7.56,115.76,17.08,20.07,195.76,757.53,17.6,0,17.6,,4.66,0,-0.42,-0.13,4.11,13.48,13.48,13.48,,,8.78,8.78,,0,0,,0,0.0,,0,0.0,0
BHARATRAS,Bharat Rasayan Ltd.,,"1,215.22",0,"1,215.22","1,234.34",19.34,"1,253.68",,854.53,0,78.53,-15.47,87.06,5.81,26.03,32.39,"1,068.87",184.81,-4.58,180.23,,47.74,0,-0.43,2.09,49.4,130.83,130.83,130.83,,,314.86,314.86,,0,0,,0,0.0,,0.62,0.0,15
BHARATWIRE,Bharat Wire Ropes Ltd.,,550.4,0,550.4,589.06,0.67,589.73,,339.27,0,0,-10.5,44.17,22.2,20.66,77.32,493.1,96.63,0,96.63,,0,0,33.82,0.56,34.38,62.25,62.25,62.25,,,9.68,9.68,,0,0,,0,0.0,,0,0.0,0
BHARTIARTL,Bharti Airtel Ltd.,,"84,720.10",0,"84,720.10","84,720.10","2,633.80","87,353.90",,0,0,"31,310.00",0,"1,966.40","14,531.80","26,355.00","7,645.00","81,808.20","5,545.70","-4,276.40","1,269.30",,-17.8,0,"1,376.70",0,"1,358.90",-89.6,-89.6,-89.6,,,-0.16,-0.16,,0,0,,0,0.0,,"1,763.00",0.0,80
BHEL,Bharat Heavy Electricals Ltd.,,"22,136.30",0,"22,136.30","23,364.94",514.81,"23,879.75",,"6,279.46","4,657.33","5,421.08",-57.15,"5,700.63",521.43,260.34,647.03,"23,430.15",449.6,0,449.6,,-111.22,0,113.27,0,2.05,447.55,447.55,447.55,,,1.29,1.29,,"1,609.95","9,326.84",,0,0.0,,0,0.0,20
BIL,Bhartiya International Ltd.,,663.8,0,663.8,664.43,3.46,667.9,,347.9,0.16,124.88,11.89,46.76,34.45,9.81,70.21,646.06,21.84,0,21.84,,5.95,0,-0.28,0,5.67,16.17,16.17,16.17,,,13.25,13.23,,0,0,,0,0.0,,0,0.0,0
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Ltd.,,30.04,0,30.04,30.04,0.1,30.13,,3.92,23.71,0,-0.2,0.62,0.04,0.43,0.82,29.34,0.79,0,0.79,,0.23,0,0.01,-0.01,0.23,0.56,0.56,0.56,,,0.34,0.34,,0,0,,0,0.0,,0,0.0,0
BIRLAMONEY,Aditya Birla Money Ltd.,,262.96,0,262.96,262.96,15.83,278.79,,0,0,58.59,0,69.99,49.57,6.66,46.85,232.11,46.68,0,46.68,,12.61,0,-0.99,1.16,12.78,33.9,33.9,33.9,,,6.01,6.01,,0,0,,0,0.0,,0,0.0,0
BLBLIMITED,BLB Ltd.,,218.57,0,218.57,218.79,0.07,218.87,,0,216.53,0.61,-9.46,1.22,0.86,0.26,1.62,211.64,7.23,0.76,7.98,,0,0,1.93,0,1.94,6.05,6.05,6.05,,,1.14,1.14,,0,0,,0,0.0,,0,0.0,0
BLISSGVS,Bliss GVS Pharma Ltd.,,595.59,0,595.59,598.34,50.77,649.11,,293.66,0,0,21.24,72.54,10.06,15.17,120.74,533.41,115.69,0,115.69,,34.42,0,-4.21,0,30.21,85.48,85.48,85.48,,,8.23,8.1,,0,0,,0,0.0,,5.19,0.0,50
BLKASHYAP,BL Kashyap & Sons Ltd.,,"1,082.97",0,"1,082.97","1,091.68",24.48,"1,116.15",,519.83,0,228.81,-7.26,186.81,46.56,8.35,59.44,"1,042.53",73.62,0,73.62,,8.48,0,13.13,0,21.61,52.01,52.01,52.01,,,2.31,2.31,,0,0,,0,0.0,,0,0.0,0
BLUECHIP,Blue Chip India Ltd.,,0,0,0,0,0.05,0.05,,0,0,0,0,0.11,0,0,0.14,0.25,-0.2,0.89,0.69,,0,0,0,0,0,0.69,0.69,0.69,,,0.12,0.12,,0,0,,0,0.0,,0,0.0,0
BLUECOAST,Blue Coast Hotels Ltd.,,0,0,0,0,0.39,0.39,,0,0,0,0,0.58,4.15,0.09,0.97,5.8,-5.41,0,-5.41,,0.01,0,0,1.72,1.73,-7.14,-7.14,-7.14,,,-5.6,-5.6,,0,0,,0,0.0,,0,0.0,0
BLUEDART,Blue Dart Express Ltd.,,"5,172.22",0,"5,172.22","5,172.22",50.54,"5,222.76",,0,0,"3,564.94",0,649.52,17.42,166.64,325.5,"4,724.02",498.74,0,498.74,,126.95,0,-0.9,6.25,132.3,366.44,366.44,366.44,,,154.43,154.43,,0,0,,0,0.0,,83.05,0.0,300
BLUESTARCO,Blue Star Ltd.,,"7,275.70",0,"7,275.70","7,353.13",29.83,"7,382.96",,"4,778.37","1,135.04",0,-149.59,496.35,58.18,80.34,650.48,"7,049.17",333.79,170.81,504.6,,118.13,0,19.89,0,138.02,366.58,366.58,366.58,,,38.06,38.06,,0,0,,0,0.0,,96.3,0.0,600
BODALCHEM,Bodal Chemicals Ltd.,,"1,525.32",0,"1,525.32","1,555.12",7.98,"1,563.10",,833.1,0.03,0,66.42,91.88,34.41,52.16,442.55,"1,520.55",42.55,0,42.55,,4.81,0,16.57,-9.97,11.41,31.14,31.14,31.14,,,2.48,2.48,,0,0,,0,0.0,,9.81,0.0,5
BOMDYEING,The Bombay Dyeing Co. Ltd.,,"2,618.47",0,"2,618.47","2,673.73",102.4,"2,776.13",,"1,291.28",32.82,218.01,741.66,69.04,522.95,33.28,355.61,"3,264.65",-488.52,0,-488.52,,0,0,27.89,0.19,28.08,-516.6,-516.6,-516.6,,,-25.01,-25.01,,0,0,,0,0.0,,0,0.0,0
BORORENEW,Borosil Renewables Ltd.,,684.87,0,684.87,688.17,18.91,707.09,,172.52,0,228.35,-23.48,61.59,7.43,49.98,91.56,587.94,119.15,0,119.15,,23.96,0,6.64,0,30.6,88.54,88.54,88.54,,,6.79,6.79,,0,0,,0,0.0,,0,0.0,0
BOSCHLTD,Bosch Ltd.,,"14,611.80",0,"14,611.80","14,929.30",473.4,"15,402.70",,"3,269.10","6,333.40",0,-139.7,"1,145.90",12.1,385.6,"2,513.90","13,520.30","1,882.40",0,"1,882.40",,421.5,0,0,12.3,457.9,"1,424.50","1,424.50","1,424.50",,,482.99,482.99,,0,0,,0,0.0,,"1,209.20",0.0,"4,800.00"
BPL,BPL Ltd.,,52.22,0,52.22,52.22,9.8,62.02,,30.6,0.02,0,0.06,7.63,1.43,1.69,7.43,48.85,13.17,0,13.17,,2.2,2.2,7.45,0,7.45,5.72,5.72,5.72,,,14.38,14.38,,0,0,,0,0.0,,0,0.0,0
BRIGADE,Brigade Enterprises Ltd.,,"2,192.13",0,"2,192.13","2,208.74",215.8,"2,424.54",,20.41,0,"1,734.87",-388.26,147.43,134.39,79.52,230.24,"1,958.60",465.94,35.9,501.84,,103.81,0,13.05,0,116.86,384.98,384.98,384.98,,,16.7,16.66,,0,0,,0,0.0,,34.56,0.0,20
BRITANNIA,Britannia Industries Ltd.,,"15,285.12",0,"15,285.12","15,618.42",220.59,"15,839.01",,"7,084.09","2,453.42",0,-82.13,520.55,154.95,195.1,"2,900.70","13,226.68","2,612.33",227.74,"2,840.07",,708.5,0,-7.73,0,700.77,"2,139.30","2,139.30","2,139.30",,,88.82,88.82,,0,0,,0,0.0,,"1,360.91",0.0,"7,200.00"
BRNL,Bharat Road Network Ltd.,,26.74,0,26.74,26.74,2.14,28.88,,0,0,15.03,0,3.66,30.82,0.07,48.79,98.36,-69.49,-27.67,-97.16,,0,0,-16.99,0,-16.99,-80.17,-80.17,-80.17,,,-9.55,-9.55,,0,0,,0,0.0,,0,0.0,0
BSL,BSL Ltd.,,469.66,0.00,469.66,471.74,0.96,472.71,,239.32,14.73,73.28,-31.85,75.53,18.82,10.86,47.30,448.00,24.71,-2.15,22.56,,4.27,0.00,1.38,0.0,5.65,16.91,16.91,16.91,,,16.43,16.43,,0.0,0.00,,0.0,0.0,,1.24,0.0,15.00
BSOFT,Birlasoft Ltd.,,"2,417.24",0,"2,417.24","2,417.24",34.17,"2,451.41",,0,0,0,0,"1,669.35",9.84,75.94,429.08,"2,184.22",267.2,0,267.2,,73.27,0,-6.44,0,66.83,200.36,200.36,200.36,,,7.23,7.2,,0,0,,0,0.0,,124.95,0.0,175
BURNPUR,Burnpur Cement Ltd.,,187.16,40.94,146.22,146.22,5.54,151.76,,113.16,0,9.97,1.08,6.69,71.39,11.06,9.06,222.41,-70.65,0.38,-70.27,,0,0,0.56,0,0.56,-70.83,-70.83,-70.83,,,-8.22,-8.22,,0,0,,0,0.0,,0,0.0,0
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd.,,"1,041.91",0.00,"1,041.91","1,056.55",6.59,"1,063.14",,426.92,193.16,0.00,48.03,101.36,6.51,16.15,190.57,982.69,80.45,0.00,80.45,,21.83,0.00,6.96,0.0,28.79,51.67,51.67,51.67,,,28.90,28.9,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
CAMLINFINE,Camlin Fine Sciences Ltd.,,780.51,0,780.51,789.44,28.83,818.27,,402.75,5.54,0,-42.61,59.71,56.94,32.82,236.47,751.64,66.63,0,66.63,,13.92,0,5.15,0,19.07,47.55,47.55,47.55,,,3.18,3.14,,0,0,,0,0.0,,0,0.0,0
CANBK,Canara Bank,,"61,356.58","19,532.08","2,950.20",585.92,"84,424.78","18,762.20","103,186.98",,"52,989.49","13,743.83",992.96,"7,744.69","22,481.48","3,569.24",0,"13,543.01","17,112.25","92,583.22","10,603.76","10,603.76",0,"10,603.76",,"2,650.94",80.1,0,0,"2,176.96",0.0,"3,071.47","10,603.76",,,58.45,58.45,,120,,,,,
CANFINHOME,Can Fin Homes Ltd.,,"2,742.00",0,"2,742.00","2,742.00",1.13,"2,743.13",,0,0,31.99,0,83.73,"1,700.86",12.46,48.31,"1,919.10",824.03,0,824.03,,199.71,0,-0.5,3.61,202.82,621.21,621.21,621.21,,,46.65,46.65,,0,0,,0,0.0,,39.95,0.0,175
CANTABIL,Cantabil Retail India Ltd.,,550.81,0,550.81,551.72,4.41,556.13,,143.24,89.14,0,-72.74,97.45,26.28,52.5,130.97,466.85,89.27,0,89.27,,24.9,0,-2.76,-0.1,22.04,67.24,67.24,67.24,,,41.18,41.18,,0,0,,0,0.0,,5.71,0.0,45
CAPACITE,Capacite Infraprojects Ltd.,,"1,775.68",0,"1,775.68","1,790.76",9.17,"1,799.93",,668.3,0,537.96,0,127.64,89.41,136,105.68,"1,664.98",134.94,0,134.94,,32.16,0,8.45,0,40.61,94.33,94.33,94.33,,,13.89,13.83,,0,0,,0,0.0,,0,0.0,0
CAPTRUST,Capital Trust Ltd.,,67.65,0,67.65,86.01,0.9,86.91,,0,0,5.07,0,37.75,21.62,0.46,35.24,148.24,-61.33,0,-61.33,,0,0,-15.69,0,-15.69,-45.64,-45.64,-45.64,,,-28.14,-28.14,,0,0,,0,0.0,,0,0.0,0
CARBORUNIV,Carborundum Universal Ltd.,,"2,473.18",0,"2,473.18","2,509.86",31.9,"2,541.75",,999.06,71.82,0,-2.75,236.9,15.04,74.49,740.46,"2,135.02",406.73,24.92,431.65,,105,0,-4.29,0,100.71,330.94,330.94,330.94,,,17.43,17.38,,0,0,,0,0.0,,66.46,0.0,350
CARERATING,CARE Ratings Ltd.,,248.84,0,248.84,248.84,37.1,285.94,,0,0,0,0,104.03,0.7,8.05,29.3,147.8,138.14,0,138.14,,36.78,0,-0.83,-1.61,34.34,103.8,103.8,103.8,,,35,35,,0,0,,0,0.0,,59.33,0.0,250
CCHHL,Country Club Hospitality & Holidays Ltd.,,64.16,0,64.16,64.16,58.57,122.73,,0,0,11.02,0,19.62,8.4,12.82,37.82,267.68,-144.95,0,-144.95,,0,0,1.79,0,1.79,-146.74,-146.74,-146.74,,,-8.98,-8.98,,0,0,,0,0.0,,0,0.0,0
CEATLTD,Ceat Ltd.,,"11,097.60",0,"11,097.60","11,263.26",38.66,"11,301.92",,"7,350.74",9.9,0,-4.99,725.36,239.04,469.25,"2,204.99","10,994.29",307.63,-33.42,274.21,,-3.68,0,71.62,0,67.94,206.27,206.27,206.27,,,50.99,50.99,,0,0,,0,0.0,,12.14,0.0,120
CELEBRITY,Celebrity Fashions Ltd.,,354.36,0,354.36,364.21,0.13,364.34,,227.14,0,0,-23.96,80.57,7.22,8.23,58.99,358.19,6.15,0,6.15,,0,0,0,0,0,6.15,6.15,6.15,,,1.3,1.3,,90.53,136.61,,0,0.0,,0,0.0,0
CENTEXT,Century Extrusions Ltd.,,372.01,0,372.01,372.01,0.35,372.36,,289.69,0,0,2.54,15.76,8.91,3.05,42.3,362.25,10.11,-1.47,8.64,,2.88,0,-0.21,0,2.67,5.97,5.97,5.97,,,0.75,0.75,,0,0,,0,0.0,,0,0.0,0
CENTRALBK,Central Bank of India,,"14,921.60","8,715.09","1,443.83",461.38,"25,541.89","4,083.71","29,625.60",,"13,855.10","5,603.97",385.86,"2,896.91","8,886.74","1,063.14",0,"4,238.43","5,301.57","28,043.40","1,582.20","1,582.20",0,"1,582.20",,395.55,133.3,54.75,0,0,0.0,997.67,"1,582.20",,,1.82,1.82,,0,,,,,
CENTUM,Centum Electronics Ltd.,,500.89,0,500.89,502.09,3.14,505.23,,315.73,0,0,-0.12,81.81,15.75,16.23,49.45,478.85,26.38,0,26.38,,11.87,0,-3.86,-1.03,6.98,19.4,19.4,19.4,,,15.06,14.91,,0,0,,0,0.0,,3.22,0.0,40
